estado,bioma,media_dias_sem_chuva
RORAIMA,Amazônia,10.440999999999994
PERNAMBUCO,Mata Atlântica,5.90956326987682
MINAS GERAIS,Caatinga,5.4599999999999982
SERGIPE,Caatinga,4.8885337243401752
ALAGOAS,Caatinga,4.8819558359621427
ALAGOAS,Mata Atlântica,4.8304633204633127
RIO GRANDE DO SUL,Pampa,4.4962661737523106
BAHIA,Caatinga,4.44518337408313
BAHIA,Mata Atlântica,4.3902501276161319
RIO GRANDE DO NORTE,Caatinga,4.0867690417690419
PARANÁ,Mata Atlântica,3.994351145038165
RIO GRANDE DO SUL,Mata Atlântica,3.9676367614879662
PARANÁ,Cerrado,3.9106250000000005
SERGIPE,Mata Atlântica,3.8567387687188028
MINAS GERAIS,Mata Atlântica,3.7930478955007239
PARAÍBA,Caatinga,3.7826920152091268
ESPÍRITO SANTO,Mata Atlântica,3.7525049309664689
MATO GROSSO DO SUL,Mata Atlântica,3.7231715210355989
SANTA CATARINA,Mata Atlântica,3.6198002496878892
CEARÁ,Caatinga,3.5783333333333349
PERNAMBUCO,Caatinga,3.4102651048088766
RIO GRANDE DO NORTE,Mata Atlântica,3.2799999999999994
BAHIA,Cerrado,3.0381912144702867
MINAS GERAIS,Cerrado,2.8109377049180342
MATO GROSSO DO SUL,Pantanal,2.7345059288537557
MATO GROSSO DO SUL,Cerrado,2.6643219264892291
SÃO PAULO,Mata Atlântica,2.6393105446118179
PARAÍBA,Mata Atlântica,2.6351903114186843
GOIÁS,Mata Atlântica,2.24
SÃO PAULO,Cerrado,2.201545893719806
RIO DE JANEIRO,Mata Atlântica,2.177083333333333
AMAZONAS,Amazônia,2.0142994652406414
DISTRITO FEDERAL,Cerrado,1.8005263157894738
MATO GROSSO,Pantanal,1.7594594594594593
PIAUÍ,Caatinga,1.7265376344086019
GOIÁS,Cerrado,1.6573012552301245
PIAUÍ,Cerrado,1.5132956381260088
PARÁ,Amazônia,1.5064624329159189
AMAPÁ,Amazônia,1.4494642857142856
MARANHÃO,Amazônia,1.2853977272727279
ACRE,Amazônia,1.2388235294117642
MARANHÃO,Cerrado,1.2274534161490671
MATO GROSSO,Cerrado,1.2007692307692333
TOCANTINS,Amazônia,1.1328000000000003
MARANHÃO,Caatinga,0.987457627118644
MATO GROSSO,Amazônia,0.94684393638170916
TOCANTINS,Cerrado,0.86734126984126991
RONDÔNIA,Amazônia,0.73720085470085539